peers,seed,attack,model,dataset,status,accuracy,precision,recall,f1,attack_success_rate
10,0,sign-flip,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,0,label-flip,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,0,gaussian-noise,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,0,scaling-attack,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,0,random-update,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,0,backdoor,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,1,sign-flip,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,1,label-flip,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,1,gaussian-noise,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,1,scaling-attack,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,1,random-update,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,1,backdoor,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,2,sign-flip,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,2,label-flip,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,2,gaussian-noise,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,2,scaling-attack,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,2,random-update,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,2,backdoor,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,3,sign-flip,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,3,label-flip,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,3,gaussian-noise,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,3,scaling-attack,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,3,random-update,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,3,backdoor,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,4,sign-flip,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,4,label-flip,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,4,gaussian-noise,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,4,scaling-attack,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,4,random-update,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,4,backdoor,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,5,sign-flip,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,5,label-flip,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,5,gaussian-noise,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,5,scaling-attack,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,5,random-update,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,5,backdoor,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,6,sign-flip,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,6,label-flip,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,6,gaussian-noise,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,6,scaling-attack,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,6,random-update,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,6,backdoor,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,7,sign-flip,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,7,label-flip,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,7,gaussian-noise,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,7,scaling-attack,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,7,random-update,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,7,backdoor,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,8,sign-flip,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,8,label-flip,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,8,gaussian-noise,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,8,scaling-attack,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,8,random-update,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,8,backdoor,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
10,9,sign-flip,TODO_MODEL,TODO_DATASET,TODO_DATASET_OR_DEPLOYMENT_REQUIRED,TODO: evaluate on real held-out set,TODO: compute from labels/predictions,TODO: compute from labels/predictions,TODO: compute from precision/recall,TODO: define attack objective and evaluate
